成本项,估算方式,粗略区间 / 人,备注
上海 → 南昌机票,"已选 MU5559，按实际票价填写",470¥,如果已出票，直接填实际金额
城际高铁：南昌 → 九江,12306 实际票价,40¥,根据最终出发站确认
城际高铁：九江 → 景德镇,12306 实际票价,55¥,预计约 1.5 小时
城际高铁：景德镇 → 上饶,12306 实际票价,65¥,预计约 1 小时
上饶 / 三清山往返大巴,兴荣出行 / 当地班车,120¥,需确认东部或南部线路
上饶 → 上海高铁,12306 实际票价,240¥,若选择上饶住一晚，则改为 6月28日返程
南昌住宿,"2晚，按人均分摊",240-360¥,民宿和酒店分摊方式不同
庐山住宿,"2晚，按人均分摊",360-520¥,建议适当提高舒适度预算
景德镇住宿,"1晚，按人均分摊",160-230¥,陶溪川附近可能更方便
三清山住宿,"1晚，按人均分摊",210-350¥,东部通常更偏性价比，南部配套更成熟
景区门票,庐山,160¥,
索道,庐山上行,75¥,
观光车,庐山,90¥,
景区门票+索道上下,三清山,245¥,
餐饮,约 6 - 7 天,1200-1500¥,"不确定物价，瞎算的"
预算备注,按宽裕的预算大概是,4-5k¥,
